Incident ID,Short Description,Priority,State,Created,Business Time Left (Hours),Root Cause,Assignment Group
INC-100001,Password Reset,P3,On Hold,2026-02-10 23:28:51,11.0,Vendor Issue,DevOps
INC-100002,Work Instruction Blocked,P3,In Progress,2026-02-04 17:28:51,20.5,Configuration Error,Stream Support
INC-100003,API 500 Error,P2,Resolved,2026-02-10 13:28:51,33.3,Network Outage,Integration Team
INC-100004,ATG Polling Failure,P3,New,2026-02-04 20:28:51,23.8,Software Defect,Integration Team
INC-100005,Work Instruction Blocked,P1,New,2026-02-07 23:28:51,2.5,Network Outage,MyService Care
INC-100006,API 500 Error,P1,Resolved,2026-02-10 08:28:51,3.9,Network Outage,MyService Care
INC-100007,Streamliner Connection Lost,P2,New,2026-02-10 05:28:51,41.3,Network Outage,Stream Support
INC-100008,ATG Polling Failure,P1,On Hold,2026-02-06 23:28:51,2.8,Software Defect,Integration Team
INC-100009,Truck Gate Stuck,P4,In Progress,2026-02-06 21:28:51,42.7,Software Defect,Stream Support
INC-100010,API 500 Error,P3,In Progress,2026-02-08 23:28:51,44.2,Vendor Issue,MyService Care
INC-100011,ATG Polling Failure,P3,Resolved,2026-02-07 08:28:51,14.6,Software Defect,Integration Team
INC-100012,Work Instruction Blocked,P3,Resolved,2026-02-05 12:28:51,42.4,User Error,MyService Care
INC-100013,User Cannot Login,P2,Resolved,2026-02-05 16:28:51,21.4,Network Outage,Stream Support
INC-100014,ATG Polling Failure,P3,In Progress,2026-02-04 23:28:51,36.3,Configuration Error,Stream Support
INC-100015,API 500 Error,P2,On Hold,2026-02-05 09:28:51,23.5,Vendor Issue,DevOps
INC-100016,ATG Polling Failure,P4,On Hold,2026-02-08 04:28:51,18.4,Configuration Error,Integration Team
INC-100017,Truck Gate Stuck,P1,Resolved,2026-02-10 06:28:51,3.5,Vendor Issue,DevOps
INC-100018,Report Timeout,P2,On Hold,2026-02-05 16:28:51,26.1,Network Outage,MyService Care
INC-100019,Report Timeout,P4,On Hold,2026-02-07 02:28:51,40.1,Vendor Issue,Stream Support
INC-100020,Truck Gate Stuck,P2,New,2026-02-04 17:28:51,45.8,Vendor Issue,Integration Team
INC-100021,User Cannot Login,P4,New,2026-02-09 10:28:51,32.0,User Error,DevOps
INC-100022,User Cannot Login,P3,On Hold,2026-02-09 09:28:51,16.5,Configuration Error,Integration Team
INC-100023,Tank Level Discrepancy,P1,Resolved,2026-02-09 05:28:51,2.2,Network Outage,DevOps
INC-100024,ATG Polling Failure,P1,New,2026-02-09 09:28:51,2.1,Network Outage,Integration Team
INC-100025,Report Timeout,P2,Resolved,2026-02-07 02:28:51,14.2,Software Defect,Stream Support
INC-100026,Truck Gate Stuck,P1,Resolved,2026-02-05 13:28:51,3.0,User Error,Integration Team
INC-100027,Work Instruction Blocked,P1,Resolved,2026-02-05 19:28:51,0.8,User Error,Stream Support
INC-100028,Tank Level Discrepancy,P1,Resolved,2026-02-10 19:28:51,3.1,User Error,Integration Team
INC-100029,Truck Gate Stuck,P3,New,2026-02-07 21:28:51,24.0,Network Outage,DevOps
INC-100030,ATG Polling Failure,P2,New,2026-02-07 22:28:51,35.4,Network Outage,DevOps
INC-100031,Report Timeout,P4,New,2026-02-06 07:28:51,22.5,User Error,Stream Support
INC-100032,Work Instruction Blocked,P3,Resolved,2026-02-06 11:28:51,30.4,Vendor Issue,MyService Care
INC-100033,Report Timeout,P3,Resolved,2026-02-04 15:28:51,24.7,Network Outage,Stream Support
INC-100034,API 500 Error,P1,In Progress,2026-02-07 10:28:51,1.8,Configuration Error,Stream Support
INC-100035,ATG Polling Failure,P4,In Progress,2026-02-05 18:28:51,34.2,Software Defect,DevOps
INC-100036,Truck Gate Stuck,P2,Resolved,2026-02-05 07:28:51,45.9,Software Defect,Integration Team
INC-100037,ATG Polling Failure,P4,Resolved,2026-02-06 03:28:51,29.5,User Error,Stream Support
INC-100038,Password Reset,P2,On Hold,2026-02-09 09:28:51,41.9,Vendor Issue,Integration Team
INC-100039,ATG Polling Failure,P3,In Progress,2026-02-08 14:28:51,14.7,Network Outage,MyService Care
INC-100040,Report Timeout,P4,In Progress,2026-02-05 18:28:51,41.3,Configuration Error,DevOps
INC-100041,Truck Gate Stuck,P3,In Progress,2026-02-06 15:28:51,36.6,Vendor Issue,Stream Support
INC-100042,Report Timeout,P4,New,2026-02-04 21:28:51,18.9,User Error,Integration Team
INC-100043,User Cannot Login,P2,In Progress,2026-02-08 02:28:51,46.3,User Error,Stream Support
INC-100044,User Cannot Login,P3,Resolved,2026-02-07 18:28:51,22.0,User Error,Stream Support
INC-100045,Streamliner Connection Lost,P2,New,2026-02-09 19:28:51,35.2,Vendor Issue,MyService Care
INC-100046,ATG Polling Failure,P1,Resolved,2026-02-10 22:28:51,4.0,Configuration Error,Integration Team
INC-100047,Tank Level Discrepancy,P2,Resolved,2026-02-10 04:28:51,47.2,User Error,Stream Support
INC-100048,Report Timeout,P2,On Hold,2026-02-07 22:28:51,24.7,Vendor Issue,Stream Support
INC-100049,Truck Gate Stuck,P1,In Progress,2026-02-10 15:28:51,1.7,Configuration Error,Stream Support
INC-100050,API 500 Error,P2,New,2026-02-05 19:28:51,34.0,Vendor Issue,Stream Support
